thumbnail,thumbnail_url,thumbnail_alt_tag
"19a13a64-1f8a-4c41-b093-cd4c208e645d.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=19a13a64-1f8a-4c41-b093-cd4c208e645d.jpg","measurement"
"19c70eef-a020-42e2-822d-875345ca2bfa.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=19c70eef-a020-42e2-822d-875345ca2bfa.jpg","person holding cell phone "
"1a5a0119-d3be-4825-b9b6-bb439f601b84.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1a5a0119-d3be-4825-b9b6-bb439f601b84.jpg","butterfly and cocoons representing change"
"1d7aa086-9626-4f8e-a8f0-e17403b59631.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1d7aa086-9626-4f8e-a8f0-e17403b59631.jpg","people sitting around a table talking "
"1dae9f5d-5afd-476c-8c22-c467903f9422.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1dae9f5d-5afd-476c-8c22-c467903f9422.jpg","Preparing for Post Pandemic Work and Workplace "
"1e463db4-3389-4057-af2e-d9a98fb7608d.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1e463db4-3389-4057-af2e-d9a98fb7608d.jpg","HR: Managing Both Strategic and Execution Roles"
"1f65a045-3095-495e-8a87-622214ec365c.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1f65a045-3095-495e-8a87-622214ec365c.jpg","employee strike"
"1fd62dea-27a8-45f3-afca-52acae368232.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1fd62dea-27a8-45f3-afca-52acae368232.jpg","employee engagement quarterly"
"1fdb5ccc-4ff5-4889-b225-6b09f025e23a.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1fdb5ccc-4ff5-4889-b225-6b09f025e23a.jpg","mug with the words hustle on it"
"204e1226-326f-4514-9af5-1a62d2fecda0.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=204e1226-326f-4514-9af5-1a62d2fecda0.jpg","incentives for coming back to the office"
"210ca9d3-8e60-45b8-aed0-3c5844ecd690.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=210ca9d3-8e60-45b8-aed0-3c5844ecd690.jpg","stacked apples representing building"
"217c4f2d-e292-4f41-acac-7405b49b5b29.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=217c4f2d-e292-4f41-acac-7405b49b5b29.jpg","Future of work "
"219bee72-1cbc-4861-a9ea-90b50a588e9d.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=219bee72-1cbc-4861-a9ea-90b50a588e9d.jpg","Future of work "
"21a2a6b8-9509-4f4c-85ad-f0876036eb82.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=21a2a6b8-9509-4f4c-85ad-f0876036eb82.jpg","strategy"
"22d24a6b-230a-48d9-b9c6-d5b9db100b84.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=22d24a6b-230a-48d9-b9c6-d5b9db100b84.jpg","HRBP"
"23b1b4f7-bbb6-4a1e-99ef-34a166cb861c.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=23b1b4f7-bbb6-4a1e-99ef-34a166cb861c.jpg","employee engagement quarterly"
"241d0465-bc8f-4cdb-82ae-050ff482ffc5.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=241d0465-bc8f-4cdb-82ae-050ff482ffc5.jpg","the end"
"26e0b4f9-11e7-4dcc-94b8-f3b864d9066b.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=26e0b4f9-11e7-4dcc-94b8-f3b864d9066b.jpg","employee engagement quarterly"
"279cfc70-4c27-46e4-84a0-53133eee04a5.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=279cfc70-4c27-46e4-84a0-53133eee04a5.jpg","Mobile Learning Content Tips video clip"
"27c4a68f-653d-479e-902c-fc9b3863563e.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=27c4a68f-653d-479e-902c-fc9b3863563e.jpg","remote work "
"27d02990-ff9a-40b6-ac9c-344ac4814e73.jpg","http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=27d02990-ff9a-40b6-ac9c-344ac4814e73.jpg","Future of work "
