resource_id,title,pdf_upload,pdf_html_url
26,Future of Remote Work in the Time of Covid-19,835c5b85-1be9-421d-aca0-f8b910d263e1.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=835c5b85-1be9-421d-aca0-f8b910d263e1.pdf
27,"Building HR Capabilities to Thrive in the New World of Work: Virtual Working Group, November 15, 2022",848b5f89-4b7b-43ec-9b81-da8cfbafa799.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=848b5f89-4b7b-43ec-9b81-da8cfbafa799.pdf
28,CAHRS Working Group: The Role of the Chief Talent Officer and Emerging Trends in the Talent Center of Excellence,8bf502c4-ad89-4adb-8747-9f658d8abd29.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=8bf502c4-ad89-4adb-8747-9f658d8abd29.pdf
29,Building HR Capabilities to Thrive in the New World of Work,9035478f-fee8-489e-b7e7-850405afd5a5.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=9035478f-fee8-489e-b7e7-850405afd5a5.pdf
30,Promoting Mental Health & Well-Being at Work: The Role of the Manager,910fcd6a-dfd9-474e-b99f-f0d7ab97ac3e.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=910fcd6a-dfd9-474e-b99f-f0d7ab97ac3e.pdf
31,Further Information for Partner Representatives,97833415-7cb4-44fd-946c-1fefe0b30238.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=97833415-7cb4-44fd-946c-1fefe0b30238.pdf
32,Talent Strategies in an Ever-Changing Work Environment,9bddb58c-88f1-45e1-9f85-a448520ee6b7.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=9bddb58c-88f1-45e1-9f85-a448520ee6b7.pdf
33,Return to the Office - Early Lessons Learned,9f665871-658e-4426-958c-4b1533ba4e32.pdf,https://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?aid=2181&system_filename=9f665871-658e-4426-958c-4b1533ba4e32.pdf
34,Diversity & Inclusion Leadership Topics,a71b6dec-fdd2-4469-83f8-def456d8b541.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=a71b6dec-fdd2-4469-83f8-def456d8b541.pdf
35,Early Career Development,aa732dbd-d064-4e78-80f0-bd79fd825006.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=aa732dbd-d064-4e78-80f0-bd79fd825006.pdf
36,"Impact of the Changing Work Environment of the HrRBP,Role",ab8a466f-f211-4b5d-8544-50d00d6680b1.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=ab8a466f-f211-4b5d-8544-50d00d6680b1.pdf
37,CAHRS Webcast,ad326fb8-d521-4883-abd4-8c09d6003676.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=ad326fb8-d521-4883-abd4-8c09d6003676.pdf
38,Barriers to Employee Participation in Health and Wellness Programs,b4d9c349-fdbc-459d-87bd-d47215cf8723.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=b4d9c349-fdbc-459d-87bd-d47215cf8723.pdf,ad326fb8-d521-4883-abd4-8c09d6003676.pdf
39,Making the Most of Internal Hiring,bc242aed-c9f2-4898-939c-223d2029489f.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=bc242aed-c9f2-4898-939c-223d2029489f.pdf
40,AI in HR: Talent Acquisition and Learning and Development,dcfc80b1-7ea9-463a-a345-2f372c0634b0.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=dcfc80b1-7ea9-463a-a345-2f372c0634b0.pdf
41,HR for R&D Working Group: Insights and Future Plans,dd0102da-e625-44b7-b371-65154a353adc.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=dd0102da-e625-44b7-b371-65154a353adc.pdf
42,Understanding the Employee Experience,ddb98a68-65a4-43b5-a940-9229fd4b651b.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=ddb98a68-65a4-43b5-a940-9229fd4b651b.pdf
43,Simon King Bio,e3a057ec-ae2f-4b2a-9075-56a9487abcdf.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=e3a057ec-ae2f-4b2a-9075-56a9487abcdf.pdf
44,Cahrs Fall Partner Meeting: Leading HR in a Changing World 2022,ecc56e51-69fb-485c-aba4-f9b54597037b.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=ecc56e51-69fb-485c-aba4-f9b54597037b.pdf
45,"Virtual Learning: Evidence, Issues, and Opportunities",f510a0de-cead-4ad5-a1e2-45b8498a5aaa.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=f510a0de-cead-4ad5-a1e2-45b8498a5aaa.pdf
46,24 Years and Counting: Leading HR in a VUCA World,f796c484-eb13-4e44-9175-7126590e7e97.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=f796c484-eb13-4e44-9175-7126590e7e97.pdf
47,"Employee Value Proposition and Benefits: Past, Present, and Future Connections",fb7fd8c8-cb0c-406c-98f6-37ae11397618.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=fb7fd8c8-cb0c-406c-98f6-37ae11397618.pdf
48,The Evolution of Total Rewards,fd523f1d-523b-4328-ad72-e24dfb43efb3.pdf,https://est05.esalestrack.com/esalestrack/Content/Content.ashx?aid=2181&system_filename=fd523f1d-523b-4328-ad72-e24dfb43efb3.pdf
49,Session 3: Managing Hybrid Work Arrangements,1296ec81-e197-4d42-b564-1a1bdcb361ea.pdf,https://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1296ec81-e197-4d42-b564-1a1bdcb361ea.pdf
50,CAHRS Working Group HR for Research & Development (Part 3),3c73b782-55a3-4299-b46d-72c6ae32d162.pdf,https://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=3c73b782-55a3-4299-b46d-72c6ae32d162.pdf
51,CAHRS Working Group HR for Research & Development,54d04037-18a4-4552-a795-fe17df05dcc3.pdf,https://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=54d04037-18a4-4552-a795-fe17df05dcc3.pdf
52,Virtual Working Group: Internships Upended due to COVID-19,7323b795-4972-403e-87c4-714d5327cf2e.pdf,https://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=7323b795-4972-403e-87c4-714d5327cf2e.pdf
53,Working Group: HR Transformation,83836f03-6cb7-4a87-8cd9-99fe3cf1cd49.pdf,https://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=83836f03-6cb7-4a87-8cd9-99fe3cf1cd49.pdf
