name,url,industry,img_url,img_alt
Polaris,http://www.polarisindustries.com,"Recreational Vehicles",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=ad44cfb3-6f8f-4e57-8995-409063c58408.png,"Polaris company logo"
"PPG Industries",https://www.ppg.com/,Chemicals,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=cfd2e0be-9f5a-432a-9fce-aedd07815afb.png,"PPG Logo"
"Procter & Gamble",http://www.pg.com,"Personal Products",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=1c6acc91-2b03-41b5-bdd1-581f0291e195.webp,"Procter & Gamble company logo"
"Prudential Financial",http://www.prudential.com,"Life Insurance",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=d0a7b892-bc3e-437f-8b84-9c451f7a401c.png,"Prudential Financial company logo"
"R1 RCM",http://www.r1rcm.com,"Health Information Services",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=550cd0d2-3737-497e-9091-93b869a2c234.webp,"R1 RCM Company Logo"
"S.C. Johnson",www.scjohnson.com,Manufacturing,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=98225098-63c7-4e4c-b79e-d2e8ead0aa66.png,"S.C. Johnson company logo"
Shell,http://www.shell.com,"Major Integrated Oil and Gas",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=bde60660-507b-4635-b7e9-b0bcbe85a878.jpg,"Shell company logo"
Terex,http://www.terex.com,"Farm and Construction Machinery",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=a8f3a483-8fdf-4089-866d-cdc233c0f9ad.jfif,"Terex company logo"
"TIAA Financial Services",https://www.tiaa.org/public/about-tiaa/why-tiaa/who-we-are,Finance,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=59a04ed8-0ed2-41c6-b4df-597caad81673.jpg,"TIAA Logo"
"Trane Technologies",https://www.tranetechnologies.com,"Diversified Machinery",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=c125466d-64c0-4d2d-abb2-e09722e06ee9.jpg,"Trane Technologies company logo"
"UnitedHealth Group",http://www.unitedhealthgroup.com/,"Managed Health Care",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=6e2fe97f-c5b3-411e-8fed-89e85c60b0c3.png,"UnitedHealth Group company logo"
Verizon,https://www.verizon.com,"Telecommunications Services",http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=02b9df6b-3d06-4e33-8596-eb3ae2e09c0f.jpg,"Verizon company logo"
Workday,www.workday.com,Software,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=c8d5cc73-bc29-4540-bed8-2fa4a44995a1.png,"Workday company logo"
XPO,https://www.xpo.com/,Trucking,http://est05.esalestrack.com/eSalesTrack/Content/Content.ashx?file=a811eef4-2e74-4e91-a908-116a1c991ca4.png,"XPO Logo"
